sync_index,person_id,cameras_used
73361,0,"0,1"
73362,0,"0,1"
73363,0,"0,1"
73364,0,"0,1"
73365,0,"0,1"
73366,0,"0,1"
73367,0,"0,1"
73368,0,"0,1"
73369,0,"0,1"
73370,0,"0,1"
73371,0,"0,1"
73372,0,"0,1"
73373,0,"0,1"
73375,0,"0,1"
73376,0,"0,1"
73377,0,"0,1"
73378,0,"0,1"
73379,0,"0,1"
73380,0,"0,1"
73381,0,"0,1"
73382,0,"0,1"
73383,0,"0,1"
73384,0,"0,1"
73385,0,"0,1"
73386,0,"0,1"
73387,0,"0,1"
73388,0,"0,1"
73389,0,"0,1"
73390,0,"0,1"
73391,0,"0,1"
73392,0,"0,1"
73393,0,"0,1"
73394,0,"0,1"
73395,0,"0,1"
73396,0,"0,1"
73397,0,"0,1"
73398,0,"0,1"
73399,0,"0,1"
73400,0,"0,1"
73401,0,"0,1"
73402,0,"0,1"
73403,0,"0,1"
73404,0,"0,1"
73405,0,"0,1"
73406,0,"0,1"
73407,0,"0,1"
73408,0,"0,1"
73409,0,"0,1"
73410,0,"0,1"
73411,0,"0,1"
73412,0,"0,1"
73413,0,"0,1"
73414,0,"0,1"
73415,0,"0,1"
73416,0,"0,1"
73417,0,"0,1"
73418,0,"0,1"
73419,0,"0,1"
73420,0,"0,1"
73421,0,"0,1"
73422,0,"0,1"
73423,0,"0,1"
73424,0,"0,1"
73425,0,"0,1"
73426,0,"0,1"
73427,0,"0,1"
73428,0,"0,1"
73429,0,"0,1"
73430,0,"0,1"
73431,0,"0,1"
73432,0,"0,1"
73433,0,"0,1"
73434,0,"0,1"
73435,0,"0,1"
73436,0,"0,1"
73437,0,"0,1"
73438,0,"0,1"
73439,0,"0,1"
73440,0,"0,1"
73441,0,"0,1"
73442,0,"0,1"
73443,0,"0,1"
73444,0,"0,1"
73445,0,"0,1"
73446,0,"0,1"
73447,0,"0,1"
73448,0,"0,1"
73449,0,"0,1"
73450,0,"0,1"
73451,0,"0,1"
73452,0,"0,1"
73453,0,"0,1"
73454,0,"0,1"
73455,0,"0,1"
73456,0,"0,1"
73457,0,"0,1"
73458,0,"0,1"
73459,0,"0,1"
73460,0,"0,1"
73461,0,"0,1"
73462,0,"0,1"
73463,0,"0,1"
73464,0,"0,1"
73465,0,"0,1"
73466,0,"0,1"
73467,0,"0,1"
73468,0,"0,1"
73469,0,"0,1"
73470,0,"0,1"
73472,0,"0,1"
73473,0,"0,1"
73474,0,"0,1"
73475,0,"0,1"
73476,0,"0,1"
73477,0,"0,1"
73478,0,"0,1"
73479,0,"0,1"
73480,0,"0,1"
73481,0,"0,1"
73482,0,"0,1"
73483,0,"0,1"
73484,0,"0,1"
73485,0,"0,1"
73486,0,"0,1"
73487,0,"0,1"
73488,0,"0,1"
73489,0,"0,1"
73490,0,"0,1"
73493,0,"0,1"
73494,0,"0,1"
73495,0,"0,1"
73496,0,"0,1"
73497,0,"0,1"
73498,0,"0,1"
73499,0,"0,1"
73500,0,"0,1"
73501,0,"0,1"
73502,0,"0,1"
73503,0,"0,1"
73504,0,"0,1"
73506,0,"0,1"
73509,0,"0,1"
73512,0,"0,1"
73514,0,"0,1"
73516,0,"0,1"
73517,0,"0,1"
73518,0,"0,1"
73519,0,"0,1"
73520,0,"0,1"
73521,0,"0,1"
73522,0,"0,1"
73524,0,"0,1"
73525,0,"0,1"
73526,0,"0,1"
73527,0,"0,1"
73528,0,"0,1"
73529,0,"0,1"
73530,0,"0,1"
73531,0,"0,1"
73532,0,"0,1"
73533,0,"0,1"
73534,0,"0,1"
73535,0,"0,1"
73536,0,"0,1"
73537,0,"0,1"
73538,0,"0,1"
73539,0,"0,1"
73540,0,"0,1"
73541,0,"0,1"
73542,0,"0,1"
73543,0,"0,1"
73544,0,"0,1"
73545,0,"0,1"
73546,0,"0,1"
73547,0,"0,1"
73548,0,"0,1"
73549,0,"0,1"
73550,0,"0,1"
73551,0,"0,1"
73552,0,"0,1"
73553,0,"0,1"
73554,0,"0,1"
73555,0,"0,1"
73556,0,"0,1"
73557,0,"0,1"
73558,0,"0,1"
73559,0,"0,1"
73560,0,"0,1"
73561,0,"0,1"
73562,0,"0,1"
73563,0,"0,1"
73564,0,"0,1"
73565,0,"0,1"
